"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"625","Ethan Cardwell","S.J","R","7","2.5166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"626","Rory Kerins","CGY","C","4","0.26666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"627","Artem Zub","OTT","D","81","228.31666666667","0","0","0","0","0","0.00","1","0.00","0","1","1","0","0","1","0","6","3","3","0","0","1","7","4","2","1","22","0","0","-"
"628","Bobby McMann","SEA, TOR","C","78","14.566666666667","0","0","0","0","0","-","3","0.00","0.24","4","4","2","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","-"
"629","Jeff Malott","L.A","L","58","3.3666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"630","Mikael Pyyhtia","CBJ","L","5","1.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"631","Matt Rempe","NYR","C","26","0.13333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"632","Ilya Solovyov","COL, PIT","D","30","7.9333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","0","-"
"633","Yegor Chinakhov","CBJ, PIT","R","72","0.13333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"634","Emil Heineman","NYI","L","82","48.05","0","0","0","0","0","-","5","0.00","0.04","5","5","0","0","2","0","0","0","0","0","0","1","1","0","3","1","4","0","2","0.00"
"635","Adam Wilsby","NSH","D","58","59.05","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","2","2","0","4","0","0","-"
"636","Mason Lohrei","BOS","D","73","9.9833333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","3","0","0","-"
"637","Matthew Kessel","STL","D","29","11.683333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"638","Josh Dunne","BUF","C","34","3.95","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0.00"
"639","Daniil Miromanov","CGY","D","1","0.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"642","Walker Duehr","WPG","R","3","0.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"644","Josh Doan","BUF","R","82","1.3166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"645","Kent Johnson","CBJ","C","76","2.55","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"646","Matty Beniers","SEA","C","82","44.566666666667","0","0","0","0","0","-","1","0.00","0.13","1","1","1","1","0","0","0","0","0","0","0","1","0","1","1","1","3","14","13","51.85"
"647","Scott Morrow","NYR","D","29","0.58333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"648","William Eklund","S.J","L","78","33.416666666667","0","0","0","0","0","-","4","0.00","0.3","5","4","4","2","0","0","0","0","0","0","0","1","0","0","0","1","1","0","2","0.00"
"650","Matt Coronato","CGY","R","80","2.75","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"651","Luke Hughes","N.J","D","68","85.533333333333","0","0","0","0","0","0.00","4","0.00","0.11","6","4","1","0","2","0","0","0","0","0","0","0","6","2","0","0","4","0","0","-"
"652","Aatu Räty","VAN","C","66","58.116666666667","0","0","0","0","0","0.00","2","0.00","0.33","5","4","5","1","0","1","0","0","0","0","0","1","1","2","2","0","1","72","47","60.50"
"653","Dylan Guenther","UTA","R","79","21.233333333333","0","0","0","0","0","-","1","0.00","0.13","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","3","0","0","-"
"654","Logan Stankoven","CAR","C","81","3.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","75.00"
"655","Colton Dach","CHI, EDM","C","61","1.8166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"656","Cole Sillinger","CBJ","C","81","63.383333333333","0","0","0","0","0","-","3","0.00","0.37","7","4","5","0","0","1","0","0","0","0","0","0","1","3","0","1","4","4","4","50.00"
"657","Mackie Samoskevich","FLA","R","77","2.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"658","Ryan Ufko","NSH","D","18","1.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"660","Samuel Helenius","L.A","C","53","0.55","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"661","Brandt Clarke","L.A","D","82","2.4333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
