playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,penalties,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xGoals,OnIce_A_xGoals,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,total_icetime,total_goals,total_primary_assists,total_secondary_assists,total_points,total_shots,total_hits,total_takeaways,total_giveaways,total_blocks,total_toi_per_game,pp_toi_per_game,pp_goals,pp_points,pp_shots,pp_xgoals,pp_on_ice_xgoals,pp_on_ice_xgoals_percentage,pp_points_per_60,pp_blocks,pp_takeaways,pp_xgoals_against_per_60,pk_toi_per_game,pk_goals,pk_points,pk_shots,pk_xgoals,pk_on_ice_xgoals,pk_on_ice_xgoals_percentage,pk_points_per_60,pk_blocks,pk_takeaways,pk_xgoals_against_per_60,toi_per_game,goals_per_game,primary_assists_per_game,secondary_assists_per_game,points_per_game,shots_per_game,expected_goals_per_game,hits_per_game,takeaways_per_game,giveaways_per_game,blocks_per_game,goals_per_60,points_per_60,shots_per_60,expected_goals_per_60,on_ice_xgoals_for_per_60,on_ice_xgoals_against_per_60,hits_per_60,takeaways_per_60,giveaways_per_60,blocks_per_60,position_group,points_per_game_percentile,goals_per_60_percentile,points_per_60_percentile,shots_per_60_percentile,expected_goals_per_60_percentile,hits_per_60_percentile,takeaways_per_60_percentile,blocks_per_60_percentile,onIce_xGoalsPercentage_percentile,onIce_corsiPercentage_percentile,onIce_fenwickPercentage_percentile
8483525,2025,Danila Yurov,MIN,R,5on5,73,53832.0,1043.0,18.0,11.0,5.0,8.0,24.0,76.0,11.76,59.0,16.0,42.0,13.0,12.0,43.0,34.28,35.29,0.49,0.47,0.48,58243.0,12.0,5.0,10.0,27.0,80.0,62.0,16.0,45.0,43.0,13.3,0.59,1.0,3.0,4.0,0.69,4.91,0.878,4.19,0.0,0.0,0.95,0.25,0.0,0.0,0.0,0.0,0.04,0.031,0.0,0.0,0.0,4.13,12.29,0.15,0.07,0.11,0.33,1.04,0.16,0.81,0.22,0.58,0.59,0.74,1.6,5.08,0.79,2.29,2.36,3.95,1.07,2.81,2.88,F,62.0,66.0,61.0,34.0,73.0,39.0,67.0,78.0,48.0,34.0,41.0
8483524,2025,Shane Wright,SEA,C,5on5,74,52891.0,1189.0,22.21,8.0,7.0,3.0,18.0,77.0,11.25,51.0,11.0,63.0,5.0,4.0,57.0,37.14,33.6,0.53,0.46,0.48,61279.0,12.0,10.0,5.0,27.0,97.0,51.0,12.0,67.0,59.0,13.8,1.56,2.0,6.0,12.0,3.01,14.24,0.944,3.13,1.0,1.0,0.44,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,11.91,0.11,0.09,0.04,0.24,1.04,0.15,0.69,0.15,0.85,0.77,0.54,1.23,5.24,0.77,2.53,2.29,3.47,0.75,4.29,3.88,F,41.0,47.0,37.0,39.0,71.0,35.0,39.0,90.0,74.0,27.0,41.0
8480950,2025,Ilya Lyubushkin,DAL,D,5on5,53,44783.0,943.0,1.82,1.0,4.0,4.0,9.0,31.0,1.46,61.0,8.0,43.0,13.0,6.0,75.0,24.79,29.34,0.46,0.43,0.44,50055.0,1.0,4.0,4.0,9.0,33.0,68.0,9.0,46.0,90.0,15.74,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.77,1.46,0.0,0.0,1.0,0.04,0.6,0.068,0.0,0.0,1.0,6.4,14.08,0.02,0.08,0.08,0.17,0.58,0.03,1.15,0.15,0.81,1.42,0.08,0.72,2.49,0.12,1.99,2.36,4.9,0.64,3.46,6.03,D,40.0,37.0,44.0,15.0,27.0,75.0,37.0,93.0,31.0,13.0,16.0
8482165,2025,Yan Kuznetsov,CGY,D,5on5,57,60299.0,1407.0,10.2,3.0,3.0,2.0,8.0,60.0,1.96,74.0,6.0,58.0,8.0,1.0,87.0,41.85,48.58,0.46,0.48,0.49,68690.0,4.0,4.0,4.0,12.0,64.0,79.0,9.0,61.0,102.0,20.08,0.06,0.0,0.0,0.0,0.0,0.01,1.0,0.0,1.0,0.0,0.0,1.61,0.0,2.0,1.0,0.01,2.56,0.221,1.3,0.0,2.0,5.88,17.63,0.05,0.05,0.04,0.14,1.05,0.03,1.3,0.11,1.02,1.53,0.18,0.48,3.58,0.12,2.5,2.9,4.42,0.36,3.46,5.19,D,32.0,60.0,26.0,51.0,27.0,69.0,17.0,81.0,31.0,44.0,52.0
8475786,2025,Zach Hyman,EDM,L,5on5,58,53615.0,1061.0,54.02,14.0,8.0,5.0,27.0,108.0,18.38,51.0,5.0,21.0,11.0,11.0,14.0,53.17,41.3,0.56,0.52,0.53,69544.0,31.0,13.0,8.0,52.0,159.0,56.0,8.0,27.0,18.0,19.98,3.46,9.0,14.0,36.0,9.22,32.68,0.918,4.19,0.0,0.0,0.87,0.02,0.0,0.0,0.0,0.0,0.14,0.095,0.0,0.0,0.0,67.44,15.41,0.24,0.14,0.09,0.47,1.86,0.32,0.88,0.09,0.36,0.24,0.94,1.81,7.25,1.23,3.57,2.77,3.42,0.34,1.41,0.94,F,86.0,83.0,73.0,81.0,99.0,35.0,14.0,9.0,88.0,74.0,80.0
8477845,2025,Trevor van Riemsdyk,WSH,D,5on5,68,58169.0,1161.0,13.1,3.0,3.0,8.0,14.0,41.0,3.5,12.0,14.0,45.0,8.0,6.0,79.0,43.2,42.33,0.51,0.48,0.49,66258.0,3.0,3.0,8.0,14.0,44.0,12.0,17.0,46.0,97.0,16.24,0.07,0.0,0.0,0.0,0.0,0.82,0.965,0.0,4.0,0.0,0.4,1.63,0.0,0.0,3.0,0.4,1.82,0.111,0.0,0.0,3.0,7.91,14.26,0.04,0.04,0.12,0.21,0.6,0.05,0.18,0.21,0.66,1.16,0.19,0.87,2.54,0.22,2.67,2.62,0.74,0.87,2.78,4.89,D,55.0,62.0,61.0,16.0,78.0,10.0,61.0,74.0,66.0,44.0,52.0
8484388,2025,Daniil But,UTA,L,5on5,29,19158.0,422.0,12.16,2.0,2.0,0.0,4.0,36.0,5.4,15.0,4.0,18.0,4.0,4.0,17.0,16.72,11.03,0.6,0.55,0.54,21697.0,3.0,2.0,2.0,7.0,43.0,16.0,4.0,18.0,18.0,12.47,1.35,1.0,3.0,7.0,0.92,4.9,0.99,4.6,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,11.01,0.07,0.07,0.0,0.14,1.24,0.19,0.52,0.14,0.62,0.59,0.38,0.75,6.76,1.01,3.14,2.07,2.82,0.75,3.38,3.19,F,21.0,32.0,18.0,72.0,95.0,28.0,39.0,82.0,97.0,88.0,85.0
8474090,2025,Brendan Smith,CBJ,D,5on5,15,9287.0,214.0,0.95,0.0,1.0,1.0,2.0,10.0,0.31,11.0,5.0,14.0,4.0,2.0,9.0,5.11,6.26,0.45,0.46,0.44,9970.0,0.0,1.0,1.0,2.0,10.0,12.0,5.0,15.0,11.0,11.08,,,,,,,,,,,,0.61,0.0,0.0,0.0,0.0,0.28,0.364,0.0,0.0,0.0,3.2,10.32,0.0,0.07,0.07,0.13,0.67,0.02,0.73,0.33,0.93,0.6,0.0,0.78,3.88,0.12,1.98,2.43,4.26,1.94,5.43,3.49,D,29.0,16.0,51.0,62.0,27.0,67.0,97.0,34.0,24.0,28.0,16.0
8481524,2025,Bowen Byram,BUF,D,5on5,82,89561.0,1745.0,38.27,8.0,12.0,10.0,30.0,83.0,7.06,45.0,17.0,71.0,16.0,13.0,77.0,62.11,65.6,0.49,0.49,0.5,109918.0,11.0,15.0,16.0,42.0,109.0,50.0,22.0,84.0,93.0,22.34,1.53,1.0,7.0,13.0,0.97,8.61,0.884,3.36,8.0,1.0,0.54,1.54,0.0,1.0,5.0,0.48,2.74,0.139,0.48,2.0,3.0,8.06,18.2,0.1,0.15,0.12,0.37,1.01,0.09,0.55,0.21,0.87,0.94,0.32,1.21,3.34,0.28,2.5,2.64,1.81,0.68,2.85,3.1,D,88.0,83.0,85.0,43.0,92.0,32.0,42.0,24.0,50.0,53.0,62.0
8484873,2025,Cole Hutson,WSH,D,5on5,14,12230.0,239.0,7.45,1.0,2.0,0.0,3.0,16.0,1.07,15.0,8.0,13.0,4.0,2.0,6.0,8.46,8.72,0.49,0.48,0.49,14664.0,3.0,5.0,2.0,10.0,22.0,16.0,8.0,13.0,6.0,17.46,2.18,0.0,5.0,2.0,0.07,3.92,0.772,9.84,0.0,0.0,2.28,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,14.56,0.07,0.14,0.0,0.21,1.14,0.08,1.07,0.57,0.93,0.43,0.29,0.88,4.71,0.31,2.49,2.57,4.42,2.35,3.83,1.77,D,55.0,80.0,62.0,82.0,95.0,69.0,99.0,3.0,50.0,44.0,52.0
8476479,2025,Phillip Danault,MTL,C,5on5,75,55866.0,1143.0,21.23,4.0,5.0,1.0,10.0,77.0,7.63,59.0,12.0,43.0,10.0,12.0,29.0,33.3,40.7,0.45,0.5,0.5,70048.0,6.0,9.0,2.0,17.0,91.0,63.0,12.0,48.0,40.0,15.57,0.59,0.0,0.0,5.0,0.26,2.81,0.762,0.0,0.0,0.0,1.19,1.87,0.0,1.0,5.0,0.45,1.54,0.07,0.43,0.0,0.0,8.71,12.41,0.05,0.07,0.01,0.13,1.03,0.1,0.79,0.16,0.57,0.39,0.26,0.64,4.96,0.49,2.15,2.62,3.8,0.77,2.77,1.87,F,19.0,23.0,15.0,31.0,20.0,38.0,40.0,43.0,24.0,61.0,58.0
